SEAWEA_ID,id,reservoir_name,dam_name,station_name,station_type,country,commission_year,status,dam_height_m,dam_length_m,max_area_km2,min_area_km2,normal_area_km2,max_capacity_mcm,min_capacity_mcm,normal_capacity_mcm,average_depth_m,dam_crest_elevation_m,reservoir_normal_elevation_m,reservoir_minimum_elevation_m,water_head_m,design_flow_m3s,power_mw,main_use,second_use,longitude,latitude,dynamic_id,id_SOURCE,id_SOURCE_ID,id_SOURCE_MODIFIED,id_SOURCE_MODIFIED_REASON,reservoir_name_SOURCE,reservoir_name_SOURCE_ID,reservoir_name_SOURCE_MODIFIED,reservoir_name_SOURCE_MODIFIED_REASON,dam_name_SOURCE,dam_name_SOURCE_ID,dam_name_SOURCE_MODIFIED,dam_name_SOURCE_MODIFIED_REASON,station_name_SOURCE,station_name_SOURCE_ID,station_name_SOURCE_MODIFIED,station_name_SOURCE_MODIFIED_REASON,station_type_SOURCE,station_type_SOURCE_ID,station_type_SOURCE_MODIFIED,station_type_SOURCE_MODIFIED_REASON,country_SOURCE,country_SOURCE_ID,country_SOURCE_MODIFIED,country_SOURCE_MODIFIED_REASON,commission_year_SOURCE,commission_year_SOURCE_ID,commission_year_SOURCE_MODIFIED,commission_year_SOURCE_MODIFIED_REASON,status_SOURCE,status_SOURCE_ID,status_SOURCE_MODIFIED,status_SOURCE_MODIFIED_REASON,dam_height_m_SOURCE,dam_height_m_SOURCE_ID,dam_height_m_SOURCE_MODIFIED,dam_height_m_SOURCE_MODIFIED_REASON,dam_length_m_SOURCE,dam_length_m_SOURCE_ID,dam_length_m_SOURCE_MODIFIED,dam_length_m_SOURCE_MODIFIED_REASON,max_area_km2_SOURCE,max_area_km2_SOURCE_ID,max_area_km2_SOURCE_MODIFIED,max_area_km2_SOURCE_MODIFIED_REASON,min_area_km2_SOURCE,min_area_km2_SOURCE_ID,min_area_km2_SOURCE_MODIFIED,min_area_km2_SOURCE_MODIFIED_REASON,normal_area_km2_SOURCE,normal_area_km2_SOURCE_ID,normal_area_km2_SOURCE_MODIFIED,normal_area_km2_SOURCE_MODIFIED_REASON,max_capacity_mcm_SOURCE,max_capacity_mcm_SOURCE_ID,max_capacity_mcm_SOURCE_MODIFIED,max_capacity_mcm_SOURCE_MODIFIED_REASON,min_capacity_mcm_SOURCE,min_capacity_mcm_SOURCE_ID,min_capacity_mcm_SOURCE_MODIFIED,min_capacity_mcm_SOURCE_MODIFIED_REASON,normal_capacity_mcm_SOURCE,normal_capacity_mcm_SOURCE_ID,normal_capacity_mcm_SOURCE_MODIFIED,normal_capacity_mcm_SOURCE_MODIFIED_REASON,average_depth_m_SOURCE,average_depth_m_SOURCE_ID,average_depth_m_SOURCE_MODIFIED,average_depth_m_SOURCE_MODIFIED_REASON,dam_crest_elevation_m_SOURCE,dam_crest_elevation_m_SOURCE_ID,dam_crest_elevation_m_SOURCE_MODIFIED,dam_crest_elevation_m_SOURCE_MODIFIED_REASON,reservoir_normal_elevation_m_SOURCE,reservoir_normal_elevation_m_SOURCE_ID,reservoir_normal_elevation_m_SOURCE_MODIFIED,reservoir_normal_elevation_m_SOURCE_MODIFIED_REASON,reservoir_minimum_elevation_m_SOURCE,reservoir_minimum_elevation_m_SOURCE_ID,reservoir_minimum_elevation_m_SOURCE_MODIFIED,reservoir_minimum_elevation_m_SOURCE_MODIFIED_REASON,water_head_m_SOURCE,water_head_m_SOURCE_ID,water_head_m_SOURCE_MODIFIED,water_head_m_SOURCE_MODIFIED_REASON,design_flow_m3s_SOURCE,design_flow_m3s_SOURCE_ID,design_flow_m3s_SOURCE_MODIFIED,design_flow_m3s_SOURCE_MODIFIED_REASON,power_mw_SOURCE,power_mw_SOURCE_ID,power_mw_SOURCE_MODIFIED,power_mw_SOURCE_MODIFIED_REASON,main_use_SOURCE,main_use_SOURCE_ID,main_use_SOURCE_MODIFIED,main_use_SOURCE_MODIFIED_REASON,second_use_SOURCE,second_use_SOURCE_ID,second_use_SOURCE_MODIFIED,second_use_SOURCE_MODIFIED_REASON,longitude_SOURCE,longitude_SOURCE_ID,latitude_SOURCE,latitude_SOURCE_ID,dynamic_id_SOURCE,dynamic_id_SOURCE_ID,dup_group
1,1,Lower Sesan 2,Lower Sesan II,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Cambodia,2017,Operational,75.0,7729.0,297.3715368,242.7875581,252.76580628,2348.304461,1628.968492,1790.0,5.4,-999.9,-999.9,83.0427359,-999.9,-999.9,400.0,Hydropower,Flood control,106.256674,13.552205,83.0,SEAWEA25,1,False,,SEAWEA25,1,False,,GDWres24,7227,False,,SEAWEA25,1,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,1,True,SEAWEA_NORMALIZE_TYPE,GDWres24,7227,,,GDWres24,7227,False,,MSEARes24,83,,,GDWres24,7227,False,,GDWres24,7227,False,,MSEARes24,83,False,,MSEARes24,83,False,,MSEARes24,83,True,max_area*0.85,MSEARes24,83,False,,MSEARes24,83,False,,GDWres24,7227,False,,GDWres24,7227,False,,SEAWEA25,1,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,1,True,SEAWEA_NORMALIZE_TYPE,MSEARes24,83,False,,SEAWEA25,1,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,1,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,1,False,,GDWres24,7227,False,,MKD24,49,False,,SEAWEA25,1,SEAWEA25,1,MSEARes24,83,
2,6,Xe Namnoy Dam,Xe Pian Xe Nam Noy,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Laos,2019,Operational,73.7,1600.0,40.57826571,10.97605441,34.491525853499994,829.2789795,109.3788326,704.887132575,38.1,-999.9,-999.9,764.3566349,673.5,40.0,410.0,Hydropower,SEAWEA_UNKNOWN,106.605648,15.026481,179.0,SEAWEA25,6,False,,SEAWEA25,6,False,,SEAWEA25,6,False,,SEAWEA25,6,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,6,True,SEAWEA_NORMALIZE_TYPE,GDWres24,7399,,,GDWres24,7399,False,,Laos25,107,,,SEAWEA25,6,False,,SEAWEA25,6,False,,MSEARes24,179,False,,MSEARes24,179,False,,MSEARes24,179,True,max_area*0.85,MSEARes24,179,False,,MSEARes24,179,False,,MSEARes24,179,True,max_capacity*0.85,GDWres24,7399,False,,SEAWEA25,6,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,6,True,SEAWEA_NORMALIZE_TYPE,MSEARes24,179,False,,SEAWEA25,6,False,,SEAWEA25,6,False,,SEAWEA25,6,False,,GDWres24,7399,False,,SEAWEA25,6,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,6,SEAWEA25,6,MSEARes24,179,
3,7,Xe Pian Dam,Xe Pian,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Laos,2019,Operational,48.0,1307.0,-999.9,-999.9,-999.9,28.72,-999.9,20.0,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,0.0,Hydropower,SEAWEA_UNKNOWN,106.523472,15.058667,,SEAWEA25,7,False,,SEAWEA25,7,False,,SEAWEA25,7,False,,SEAWEA25,7,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,7,True,SEAWEA_NORMALIZE_TYPE,Laos25,106,,,Laos25,106,False,,Laos25,106,,,SEAWEA25,7,False,,SEAWEA25,7,False,,SEAWEA25,7,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,7,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,7,True,SEAWEA_NORMALIZE_TYPE,GDAT23,13507,False,,SEAWEA25,7,True,SEAWEA_NORMALIZE_TYPE,Laos25,106,False,,SEAWEA25,7,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,7,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,7,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,7,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,7,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,7,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,7,False,,GDAT23,13507,False,,SEAWEA25,7,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,7,SEAWEA25,7,SEAWEA25,7,
4,9,Nam Chiane 1,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Laos,2018,Operational,93.0,294.5,322.0,-999.9,322.0,14.0,-999.9,14.0,-999.9,-999.9,1040.0,-999.9,600.0,11.43,104.0,Hydropower,SEAWEA_UNKNOWN,103.52122,19.06521,,SEAWEA25,9,False,,SEAWEA25,9,False,,SEAWEA25,9,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,9,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,9,True,SEAWEA_NORMALIZE_TYPE,Laos25,25,,,Laos25,25,False,,Laos25,25,,,Laos25,25,False,,Laos25,25,False,,Laos25,25,False,,SEAWEA25,9,True,SEAWEA_NORMALIZE_TYPE,Laos25,25,False,,Laos25,25,False,,SEAWEA25,9,True,SEAWEA_NORMALIZE_TYPE,Laos25,25,False,,SEAWEA25,9,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,9,True,SEAWEA_NORMALIZE_TYPE,Laos25,25,False,,SEAWEA25,9,True,SEAWEA_NORMALIZE_TYPE,Laos25,25,False,,Laos25,25,False,,Laos25,25,False,,SEAWEA25,9,False,,SEAWEA25,9,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,9,SEAWEA25,9,SEAWEA25,9,
5,11,Nam Mang 3,Nam Mang 3,Nan Mang 3,Storage,Laos,2004,Operational,28.0,436.0,10.2,6.919885163,10.2,58.0,25.33099682,49.3,47.7,750.0,742.0,742.0,543.0,9.22,40.0,Hydropower,Irrigation,102.768653,18.35067,106.0,SEAWEA25,11,False,,SEAWEA25,11,False,,GDWres24,6958,False,,GloHydroRes24,GHR04073,False,,GloHydroRes24,GHR04073,False,,SEAWEA25,11,,,GDWres24,6958,False,,Laos25,34,,,GDWres24,6958,False,,GDWres24,6958,False,,Laos25,34,False,,MSEARes24,106,False,,GDWres24,6958,False,,Laos25,34,False,,MSEARes24,106,False,,SEAWEA25,11,False,,GDWres24,6958,False,,Laos25,34,False,,Laos25,34,False,,Laos25,34,False,,GloHydroRes24,GHR04073,False,,Laos25,34,False,,GloHydroRes24,GHR04073,False,,GDWres24,6958,False,,MKD24,190,False,,SEAWEA25,11,SEAWEA25,11,MSEARes24,106,
6,12,Sayaboury Dam (Xayaburi),Xayaburi,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Laos,2019,Operational,33.0,820.0,225.0,63.4860455,191.25,1072.219945,868.1335785,911.38695325,49.7,-999.9,270.0,278.3912404,24.0,6018.0,1260.0,Hydropower,SEAWEA_UNKNOWN,101.817244,19.245256,175.0,SEAWEA25,12,False,,SEAWEA25,12,False,,GDWres24,7403,False,,SEAWEA25,12,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,12,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,12,,,GDWres24,7403,False,,Laos25,61,,,GDWres24,7403,False,,GDWres24,7403,False,,Laos25,61,False,,MSEARes24,175,False,,SEAWEA25,12,False,,MSEARes24,175,False,,MSEARes24,175,False,,MSEARes24,175,True,max_capacity*0.85,GDWres24,7403,False,,Laos25,61,True,SEAWEA_NORMALIZE_VALUE,Laos25,61,False,,MSEARes24,175,False,,Laos25,61,False,,Laos25,61,False,,Laos25,61,True,SEAWEA_NORMALIZE_VALUE,GDWres24,7403,False,,SEAWEA25,12,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,12,SEAWEA25,12,MSEARes24,175,
7,13,Nam Ngiep 1,Nam Ngiep I,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Laos,2019,Operational,167.0,530.0,67.94831658,42.1455593,66.9,1200.0,1200.0,1200.0,20.5,323.5,296.0,307.9052624,130.9,-999.9,562.0,Hydropower,SEAWEA_UNKNOWN,103.52405,18.646599,108.0,SEAWEA25,13,False,,SEAWEA25,13,False,,GDWres24,7405,False,,SEAWEA25,13,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,13,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,13,,,GDWres24,7405,False,,Laos25,36,,,GDWres24,7405,False,,GDWres24,7405,False,,MSEARes24,108,False,,MSEARes24,108,False,,Laos25,36,False,,Laos25,36,False,,SEAWEA25,13,False,,GDWres24,7405,False,,GDWres24,7405,False,,Laos25,36,False,,Laos25,36,False,,MSEARes24,108,False,,Laos25,36,False,,SEAWEA25,13,True,SEAWEA_NORMALIZE_TYPE,Laos25,36,True,SEAWEA_NORMALIZE_VALUE,GDWres24,7405,False,,SEAWEA25,13,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,13,SEAWEA25,13,MSEARes24,108,
8,17,Hua Na,Hua Na,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,1995,Operational,17.0,207.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-999.9,-999.9,-999.9,-999.9,-999.9,-99.0,Hydropower,SEAWEA_UNKNOWN,104.702267,15.1353,,SEAWEA25,17,False,,SEAWEA25,17,False,,GDAT23,14565,False,,SEAWEA25,17,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,17,True,SEAWEA_NORMALIZE_TYPE,GDWbar24,39310,,,GDAT23,14565,False,,MKD24,485,,,SEAWEA25,17,False,,GDAT23,14565,False,,GDWbar24,39310,False,,GDWbar24,39310,False,,GDWbar24,39310,False,,GDWbar24,39310,False,,GDWbar24,39310,False,,GDWbar24,39310,False,,GDWbar24,39310,False,,SEAWEA25,17,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,17,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,17,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,17,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,17,True,SEAWEA_NORMALIZE_TYPE,GDWbar24,39310,False,,GDAT23,14565,False,,SEAWEA25,17,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,17,SEAWEA25,17,SEAWEA25,17,
9,26,Taurus Tun,Shaba,Shaba,Run of River,China,2008,Operational,23.8,-999.9,-999.9,-999.9,0.22068,-999.9,-999.9,316.0,-999.9,-999.9,-999.9,-999.9,59.0,-999.9,24.0,Hydropower,SEAWEA_UNKNOWN,99.9125945,25.8038255,,SEAWEA25,26,False,,SEAWEA25,26,False,,SEAWEA25,26,False,,SEAWEA25,26,False,,GloHydroRes24,GHR02169,False,,GloHydroRes24,GHR02169,,,GloHydroRes24,GHR02169,False,,MKD24,101,,,GloHydroRes24,GHR02169,False,,SEAWEA25,26,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,26,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,26,True,SEAWEA_NORMALIZE_TYPE,GloHydroRes24,GHR02169,False,,SEAWEA25,26,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,26,True,SEAWEA_NORMALIZE_TYPE,MKD24,101,False,,SEAWEA25,26,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,26,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,26,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,26,True,SEAWEA_NORMALIZE_TYPE,GloHydroRes24,GHR02169,False,,SEAWEA25,26,True,SEAWEA_NORMALIZE_TYPE,GloHydroRes24,GHR02169,False,,GDAT23,6658,False,,SEAWEA25,26,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,26,SEAWEA25,26,SEAWEA25,26,
10,27,SEAWEA_UNKNOWN,Weiyuan River,Weiyuan River Jinggu County Simao District,Run of River,China,2010,Operational,-99.0,-99.0,-99.0,-99.0,8.8145,-99.0,-99.0,246.15,17.5,-999.9,-999.9,-999.9,64.0,-999.9,72.0,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,100.562,23.2786,,SEAWEA25,27,False,,SEAWEA25,27,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,27,False,,SEAWEA25,27,False,,GloHydroRes24,GHR02353,False,,GDWres24,38732,,,GDWres24,38732,False,,SEAWEA25,27,True,Based on commission year,GDWbar24,38732,False,,GDWbar24,38732,False,,GDWbar24,38732,False,,GDWbar24,38732,False,,GloHydroRes24,GHR02353,False,,GDWbar24,38732,False,,GDWbar24,38732,False,,GloHydroRes24,GHR02353,False,,GDWres24,38732,False,,SEAWEA25,27,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,27,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,27,True,SEAWEA_NORMALIZE_TYPE,GloHydroRes24,GHR02353,False,,SEAWEA25,27,True,SEAWEA_NORMALIZE_TYPE,GloHydroRes24,GHR02353,False,,SEAWEA25,27,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,27,True,SEAWEA_NORMALIZE_TYPE,SEAWEA25,27,SEAWEA25,27,SEAWEA25,27,
