id,reservoir_name,dam_name,station_name,station_type,country,commission_year,status,dam_height_m,dam_length_m,max_area_km2,min_area_km2,normal_area_km2,max_capacity_mcm,min_capacity_mcm,normal_capacity_mcm,average_depth_m,dam_crest_elevation_m,reservoir_normal_elevation_m,reservoir_minimum_elevation_m,water_head_m,design_flow_m3s,power_mw,main_use,second_use,longitude,latitude,dynamic_id,dup_group
1,Lower Sesan 2,Lower Sesan II,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Cambodia,2017,Operational,75.0,7729.0,297.3715368,242.7875581,252.76580628,2348.304461,1628.968492,1790.0,5.4,-999.9,-999.9,83.0427359,-999.9,-999.9,400.0,Hydropower,Flood control,106.256674,13.552205,83.0,
6,Xe Namnoy Dam,Xe Pian Xe Nam Noy,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Laos,2019,Operational,73.7,1600.0,40.57826571,10.97605441,34.491525853499994,829.2789795,109.3788326,704.887132575,38.1,-999.9,-999.9,764.3566349,-999.9,-999.9,410.0,Hydropower,SEAWEA_UNKNOWN,106.605648,15.026481,179.0,
8,Theun-Hin Boun Expansion,Nam Gnouang,SEAWEA_UNKNOWN,Storage,Laos,2013,Operational,70.0,470.0,107.3876706,56.2284043,79.0,2355.120632,594.070803,2001.8525372,2.4,-999.9,-999.9,435.4032627,-99.0,-999.9,280.0,Hydropower,SEAWEA_UNKNOWN,104.635417,18.297448,167.0,
9,Nam Chiane 1,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Laos,2018,Operational,93.0,294.5,322.0,-999.9,322.0,14.0,-999.9,14.0,-999.9,-999.9,1040.0,-999.9,600.0,11.43,104.0,Hydropower,SEAWEA_UNKNOWN,103.52122,19.06521,,
11,Nam Mang 3,Nam Mang 3,Nan Mang 3,Storage,Laos,2004,Operational,28.0,436.0,10.2,6.919885163,10.2,58.0,25.33099682,49.3,47.7,750.0,742.0,742.0,543.0,9.22,40.0,Hydropower,Irrigation,102.768653,18.35067,106.0,
12,Sayaboury Dam (Xayaburi),Xayaburi,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Laos,2019,Operational,33.0,820.0,225.0,63.4860455,191.25,1072.219945,868.1335785,911.38695325,49.7,-999.9,270.0,278.3912404,24.0,6018.0,1260.0,Hydropower,SEAWEA_UNKNOWN,101.817244,19.245256,175.0,
13,Nam Ngiep 1,Nam Ngiep I,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Laos,2019,Operational,167.0,530.0,67.94831658,42.1455593,66.9,1200.0,1200.0,1200.0,20.5,323.5,296.0,307.9052624,130.9,-999.9,562.0,Hydropower,SEAWEA_UNKNOWN,103.52405,18.646599,108.0,
342,Nam Ngum 1,Nam Ngum,Nam Ngum 1,Storage,Laos,1972,Operational,75.0,468.0,502.2793384,320.0,370.0,7030.0,4700.0,7030.0,16.1,-999.9,212.0,181.4126742,45.5,-999.9,155.0,Hydropower,SEAWEA_UNKNOWN,102.5491,18.531233,110.0,
349,Ubol Ratana,Ubol Ratana,SEAWEA_UNKNOWN,Storage,Thailand,1966,Operational,35.0,880.0,410.0,300.0,410.0,2300.0,1761.0,2263.0,7.4,-999.9,-999.9,168.544793,-99.0,-999.9,25.2,Irrigation,Irrigation,102.617817,16.772725,171.0,
350,Lam Pao,Lam Pao,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,1969,Operational,33.0,7800.0,300.0,119.5587366,240.0,2450.0,1400.0,1430.0,7.1,-999.9,-999.9,161.0606153,-999.9,-999.9,-99.0,Irrigation,SEAWEA_UNKNOWN,103.453125,16.603534,75.0,
358,Noi,Sirindhorn,SEAWEA_UNKNOWN,Storage,Thailand,1971,Operational,42.0,940.0,288.3,230.0,288.3,2000.0,1135.0,1966.0,8.5,-999.9,-999.9,137.4859969,-99.0,-999.9,36.0,Hydropower,Irrigation,105.430544,15.205083,150.0,
1785,Manwan,Manwan,Manwan,Storage,China,1995,Operational,126.0,418.0,25.22459534,19.95166896,21.440906039,732.8967879,555.9123374,622.962269715,25.0,-999.9,-999.9,992.2870498,69.3,-999.9,1605.0,Hydropower,SEAWEA_UNKNOWN,100.448067,24.623123,92.0,
1906,Nam Pung,Nam Pung,SEAWEA_UNKNOWN,Storage,Thailand,1965,Operational,40.0,1719.0,21.0,0.3,21.0,165.5,156.8,165.5,10.5,-999.9,-999.9,275.6858856,-99.0,-999.9,6.3,Hydropower,SEAWEA_UNKNOWN,103.976042,16.972114,120.0,
1920,Pak Mun,Pak Mun,Pak Mun,Run of River,Thailand,1990,Operational,17.0,324.0,73.68412589,38.72279491,62.6315070065,229.0,118.0,229.0,2.6,-999.9,-999.9,110.3774448,11.6,-999.9,136.0,Hydropower,Irrigation,105.467708,15.279676,131.0,
1923,Houay Ho Dam,Houayho,Houay Ho,Storage,Laos,1999,Operational,76.0,-99.0,27.89911257,17.84306982,23.7142456845,649.0,508.0,596.0,21.0,883.0,867.0,861.0,775.5,22.0,157.0,Hydropower,SEAWEA_UNKNOWN,106.765135,15.059528,37.0,
1926,Lamtakhong,Lamtakhong,Lam Ta Khong,Pumped Storage,Thailand,1969,Operational,40.0,251.0,39.438433,1.4,37.0,445.0,64.21231031,310.0,11.6,-999.9,-999.9,265.1940161,-999.9,-999.9,1000.0,Irrigation,SEAWEA_UNKNOWN,101.560159,14.863445,78.0,
1929,Lamnangrong,Lamnangrong,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,1982,Operational,23.0,1500.0,24.5,0.5,24.5,196.67,20.84709805,150.0,13.0,-999.9,-999.9,230.2454168,-999.9,-999.9,-99.0,Irrigation,SEAWEA_UNKNOWN,102.765925,14.300292,76.0,
1930,Yali Falls,Yali,Ialy,Storage,Vietnam,2001,Operational,69.0,1190.0,56.02875446,31.0167533,47.624441291,775.073721,473.9114412,658.8126628499999,22.9,-999.9,-999.9,502.7477219,180.0,-999.9,720.0,Hydropower,Irrigation,107.832322,14.230762,182.0,
4896,Haixihai,Haixihai,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,China,1995,Operational,21.0,91.5,4.288881228,3.613038752,4.0,61.9,41.9,61.9,15.7,-999.9,-999.9,2125.516882,-999.9,-999.9,61.9,Irrigation,Irrigation,99.978125,26.290762,34.0,
4902,Zibihe,Zibihe,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,China,1981,Operational,-99.0,-99.0,9.480499357,7.97,8.05842445345,95.54978735,11.0,93.2,11.9,-999.9,-999.9,2044.184287,-999.9,-999.9,93.2,Irrigation,Irrigation,99.955536,26.136007,185.0,
5084,Nam Leuk,Nam Leuk,Nam Leuk,Storage,Laos,2000,Operational,45.0,800.0,12.8,6.403858592,12.8,185.0,154.0,185.0,20.1,411.5,388.0,388.0,46.5,-999.9,60.0,Hydropower,SEAWEA_UNKNOWN,102.946765,18.439659,105.0,
5107,Chulabhorn,Chulabhorn,Chulabhorn,Storage,Thailand,1972,Operational,70.0,700.0,12.0,0.5,12.0,188.0,144.5,188.0,27.1,-999.9,-999.9,745.3411321,-99.0,-999.9,40.0,Hydropower,Irrigation,101.650246,16.53714,18.0,
5119,Lamphraphloeng,Lamphraphloeng,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,1967,Operational,49.0,575.0,13.1,0.8,13.1,242.0,15.93062369,152.0,15.7,-999.9,-999.9,255.0524574,-999.9,-999.9,-99.0,Irrigation,SEAWEA_UNKNOWN,101.839349,14.592853,77.0,
6576,Krong Buk Ha,Krong Buk Ha,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Vietnam,2014,Operational,35.0,2042.0,11.76979434,7.752555072,10.1,122.7048078,59.69767549,110.0,10.9,-999.9,-999.9,478.3999226,-999.9,-999.9,-99.0,Irrigation,SEAWEA_UNKNOWN,108.370289,12.778758,72.0,
6957,Nakai,Nam Theun 2,Nam Theun 2,Storage,Laos,2010,Operational,39.0,436.0,431.2597564,260.5851714,366.57079294,5513.22063,2229.026288,3210.0,7.8,-999.9,538.0,530.0,348.0,-999.9,1070.0,Hydropower,Irrigation,104.952263,17.99679,123.0,
6959,Nam Ngum 2,Nam Ngum 2,Nam Ngum 2,Storage,Laos,2011,Operational,185.0,470.0,122.0,75.39522769,100.0,6774.0,2573.474807,4230.0,45.2,-999.9,378.0,355.5040219,146.0,-999.9,615.0,Hydropower,SEAWEA_UNKNOWN,102.77657,18.753615,111.0,
6960,Nam Ngum 5,Nam Ngum 5,Nam Ngum 5,Storage,Laos,2012,Operational,104.0,258.0,15.0,2.98911166,14.8,-999.9,40.71423359,314.0,71.2,1104.5,1100.0,-999.9,337.0,21.14,120.0,Hydropower,SEAWEA_UNKNOWN,102.620386,19.355319,112.0,
6961,Xekaman 1 Dam,Xe Kaman 1,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Laos,2015,Operational,120.0,235.0,124.2767496,102.2619602,105.63523716,5017.881137,3526.518419,4265.19896645,31.8,230.0,230.0,218.0,-99.0,-999.9,290.0,Hydropower,SEAWEA_UNKNOWN,107.159768,14.960122,176.0,
6962,Xekaman 3 Dam,Xe Kaman 3,Xekaman 3,Storage,Laos,2013,Operational,100.0,540.0,5.251,3.436891881,5.0,148.4945389,76.43749617,141.0,34.3,960.0,960.0,925.0,515.0,-999.9,250.0,Hydropower,SEAWEA_UNKNOWN,107.36143,15.425985,177.0,
6989,Dachaoshan,Dachaoshan,Da Chao Shan,Storage,China,2002,Operational,115.0,461.0,25.74055908,20.83304742,21.879475218,719.7408323,491.1878776,611.779707455,46.0,-999.9,-999.9,888.6501504,72.5,-999.9,1350.0,Hydropower,SEAWEA_UNKNOWN,100.368647,24.027054,20.0,
7029,Gongguoqiao,Gongguoqiao,Gong Guo Qiao,Storage,China,2012,Operational,105.0,356.0,12.90244527,10.66822021,10.9670784795,316.0,120.0,316.0,32.8,-999.9,-999.9,1300.236354,58.0,-999.9,750.0,Hydropower,SEAWEA_UNKNOWN,99.335411,25.585622,31.0,
