Time,area_km2,elevation_m,changed_storage_mcm
2013-01-31,1.04,61.1,6.43
2013-02-28,1.04,61.1,6.43
2013-03-31,2.06,72.1,23.54
2013-04-30,1.97,71.1,21.48
2013-05-31,1.88,70.0,19.33
2013-06-30,1.63,67.3,14.72
2013-07-31,2.22,73.9,27.27
2013-08-31,2.13,73.0,25.35
2013-09-30,2.04,71.9,23.05
2013-10-31,2.0,71.4,22.17
2013-11-30,1.54,66.4,13.27
2013-12-31,1.08,61.5,6.86
2014-01-31,1.95,70.9,21.12
2014-02-28,2.28,74.5,28.73
2014-03-31,2.51,77.0,34.69
2014-04-30,3.2,84.7,56.48
2014-05-31,2.32,75.0,29.74
2014-06-30,1.69,67.9,15.67
2014-07-31,2.34,75.1,30.09
2014-08-31,2.11,72.7,24.71
2014-09-30,2.34,75.2,30.24
2014-10-31,2.03,71.8,22.84
2014-11-30,1.31,63.9,9.7
2014-12-31,1.5,66.0,12.65
2015-01-31,1.69,68.0,15.8
2015-02-28,2.48,76.7,33.89
2015-03-31,2.1,72.7,24.67
2015-04-30,2.03,71.7,22.73
2015-05-31,2.26,74.3,28.27
2015-06-30,2.29,74.6,28.93
2015-07-31,2.05,72.0,23.27
2015-08-31,2.06,72.1,23.54
2015-09-30,2.18,73.5,26.48
2015-10-31,2.1,72.5,24.44
2015-11-30,1.66,67.6,15.23
2015-12-31,1.99,71.3,21.94
2016-01-31,1.48,65.8,12.27
2016-02-29,2.01,71.5,22.37
2016-03-31,2.46,76.5,33.36
2016-04-30,2.66,79.0,39.74
2016-05-31,2.38,75.5,31.12
2016-06-30,2.21,73.7,26.96
2016-07-31,1.57,66.8,13.78
2016-08-31,1.71,68.2,16.12
2016-09-30,1.18,62.6,8.06
2016-10-31,1.69,68.0,15.74
2016-11-30,1.81,69.3,18.1
2016-12-31,1.94,70.7,20.73
2017-01-31,2.06,72.1,23.47
2017-02-28,1.73,68.4,16.56
2017-03-31,2.54,77.4,35.78
2017-04-30,2.32,74.9,29.65
2017-05-31,2.1,72.6,24.56
2017-06-30,1.45,65.5,11.88
2017-07-31,1.65,67.6,15.13
2017-08-31,1.86,69.8,18.99
2017-09-30,2.14,73.1,25.5
2017-10-31,1.21,62.9,8.42
2017-11-30,2.22,73.9,27.37
2017-12-31,2.38,75.6,31.16
2018-01-31,2.54,77.4,35.8
2018-02-28,2.7,79.4,40.89
2018-03-31,2.18,73.5,26.52
2018-04-30,2.16,73.3,25.98
